word	number_stories_observed	number_words_read	condition	number_observed	baseline_prob_3_word_265	baseline_prob_3_word_100	baseline_prob_3_word_30	baseline_prob_2_word_100	baseline_prob_1_word_100	baseline_prob_2_word_30	baseline_prob_1_word_30
two	1	265	Chain	1	0.02797170568185554	0.032101248058174874	0.038020913409011856	0.03439516763417879	0.024206482070126795	0.04072004931928534	0.0287134933111942
hope	1	265	Chain	1	0.02789613574554188	0.03201488897328883	0.037919253081031716	0.034202714487996944	0.023998607393100033	0.04049369033595083	0.028468043560740893
address	1	265	Chain	1	0.027749105004147623	0.03184686091614265	0.03772144395238951	0.03358685392805881	0.023256308073605993	0.0397692177274404	0.027591408541942093
respond	1	265	Chain	1	0.02763560841670725	0.03171715085995321	0.037568735594086626	0.03326724779136074	0.02290526717883061	0.03939317944021761	0.027176752420565733
bought	1	265	Chain	1	0.023121626415750086	0.026554698956885794	0.031484818193265963	0.029419857350297618	0.021373478604623297	0.03486286813770364	0.02536672449506739
bulb	1	265	Chain	1	0.023111970681554773	0.026543648505975615	0.03147178245589417	0.029403288582203226	0.021358146898911263	0.03484334400438365	0.02534860253452092
compet	1	265	Chain	1	0.023103566207124906	0.026534030025891667	0.03146043590763278	0.029457995660564052	0.021446169392287887	0.03490780869604876	0.025452643014150598
unit	1	265	Chain	1	0.022632390499046768	0.02599475483660367	0.030824207257481903	0.0289141513466923	0.021086061478602716	0.03426690396819207	0.02502698197152352
direct	1	265	Chain	1	0.02240213779966179	0.02573119539291575	0.030513216223289112	0.02821808325537505	0.020281829548312823	0.03344641401741467	0.024076138348579225
phenomenon	1	265	Chain	1	0.02240154942235738	0.025730521881434883	0.030512421462963558	0.028258892399387753	0.020341550320110147	0.03349452378737094	0.0241467562707228
best	1	265	Chain	1	0.021661737137450614	0.024883568489873692	0.029512833740890965	0.027056650323345897	0.019272360695232416	0.03207689050721341	0.02288222963494938
refer	1	265	Chain	1	0.017514172577533595	0.02013181505168495	0.02389874385068107	0.023277435765039024	0.01761027370503077	0.027616363196731848	0.020915459723230105
govern	1	265	Chain	1	0.017390548947168554	0.019990090748536114	0.023731143300037342	0.023012210723110816	0.017331293509419966	0.027303082035750253	0.020585216273330806
review	1	265	Chain	1	0.017390548947168554	0.019990090748536114	0.023731143300037342	0.023012210723110816	0.017331293509419966	0.027303082035750253	0.020585216273330806
overwhelm	1	265	Chain	1	0.017384129903608193	0.019982731698571874	0.023722440375327673	0.023001644285784197	0.01732168280889581	0.027290600408951586	0.020573838957132374
epoch	1	265	Chain	1	0.0173719437988331	0.01996876101791132	0.023705918368035192	0.022981589823911495	0.017303446452472435	0.027266910894325345	0.020552250323014415
western	1	265	Chain	1	0.017370592237795888	0.019967211526348654	0.023704085902789215	0.02297936600121971	0.01730142457480877	0.027264283972470604	0.02054985676670048
manufactur	1	265	Chain	1	0.017195668682547877	0.01976666576186403	0.02346690660111207	0.022801918897166772	0.017207010264048195	0.02705466489524078	0.020438084359490155
antimicrobi	1	265	Chain	1	0.01711692054942157	0.019676379385058725	0.02336012175215746	0.022563455877721763	0.016924466805771855	0.026772945075172312	0.020103571118083967
remedi	1	265	Chain	1	0.01707744939069101	0.019631124064556905	0.023306595319627196	0.022499003634075997	0.016866261856984248	0.026696796897770485	0.020034655723975635
project	1	265	Chain	1	0.016971672759819516	0.019509844090404228	0.023163144986065184	0.022397752859156423	0.016818124153581436	0.026577168698771678	0.019977658917346083
scale	1	265	Chain	1	0.016864850052981717	0.019387360758745798	0.023018264572871195	0.022153065016406598	0.016554824183676282	0.02628804993508929	0.019665883541256365
